# Silicon Spatula Save File
MONEY,274.25
ORDER,87,CHICKEN_STRIPS:3
ORDER,88,CHEESECAKE:3
ORDER,89,FRIES:2
ORDER,90,CHEESECAKE:3
ORDER,91,COLA:1;TWISTER:1
ORDER,92,COLA:1;COFFEE:1
ORDER,93,MUFFIN_CAKE:1;MAYO_SAUCE:1
ORDER,94,BURGER:1;TWISTER:1
ORDER,95,TWISTER:1
ORDER,96,KETCHUP_SAUCE:1;MAYO_SAUCE:1;WATER:1
ORDER,97,WATER:1;TWISTER:1;BURGER:1
ORDER,98,KETCHUP_SAUCE:1
ORDER,99,FRIES:2
ORDER,100,MUFFIN_CAKE:1;BURGER:1
ORDER,101,COLA:3
ORDER,102,COLA:1;WATER:1
ORDER,103,BARBECUE_SAUCE:3
ORDER,104,TEA:2
ORDER,105,MUFFIN_CAKE:1
ORDER,106,CHEESECAKE:1;COFFEE:1
ORDER,107,CHICKEN_STRIPS:3
ORDER,108,WATER:1;KETCHUP_SAUCE:1;COFFEE:1
ORDER,109,KETCHUP_SAUCE:2
ORDER,110,COFFEE:1;MAYO_SAUCE:1
ORDER,111,BURGER:3
ORDER,112,WATER:2
ORDER,113,WATER:2
ORDER,114,BARBECUE_SAUCE:1;COLA:1
ORDER,115,KETCHUP_SAUCE:1;CHICKEN_STRIPS:1
ORDER,116,TWISTER:1;CHICKEN_STRIPS:1
ORDER,117,MUFFIN_CAKE:1;TEA:1
ORDER,118,TWISTER:2
ORDER,119,COFFEE:1;MAYO_SAUCE:1
ORDER,120,MUFFIN_CAKE:1
ORDER,121,MAYO_SAUCE:1;FRIES:1
ORDER,122,CHICKEN_STRIPS:2
ORDER,123,CHEESECAKE:1;FRIES:1
ORDER,124,TEA:2
ORDER,125,BURGER:2
ORDER,126,CHEESECAKE:2
ORDER,127,COFFEE:1;FRIES:1
ORDER,128,BURGER:3
ORDER,129,COFFEE:1;KETCHUP_SAUCE:1
ORDER,130,MUFFIN_CAKE:1;COFFEE:1;BARBECUE_SAUCE:1
ORDER,131,KETCHUP_SAUCE:3
ORDER,132,FRIES:3
ORDER,133,KETCHUP_SAUCE:1;CHEESECAKE:1;MUFFIN_CAKE:1
ORDER,134,COFFEE:1;CHEESECAKE:1
ORDER,135,TEA:1;MUFFIN_CAKE:1
ORDER,136,MAYO_SAUCE:1
ORDER,137,CHEESECAKE:2
ORDER,138,COLA:1
ORDER,139,WATER:2
ORDER,140,COFFEE:3;CHICKEN_STRIPS:3
ORDER,141,COFFEE:1;CHICKEN_STRIPS:3
ORDER,142,CHICKEN_STRIPS:1;COLA:2
ORDER,143,BURGER:3
ORDER,144,KETCHUP_SAUCE:3
ORDER,145,TWISTER:3
ORDER,146,FRIES:1;TEA:1
ORDER,147,BARBECUE_SAUCE:2;TEA:1
ORDER,148,TWISTER:2;FRIES:1
ORDER,149,MAYO_SAUCE:3
ORDER,150,COLA:2
ORDER,151,MUFFIN_CAKE:1
ORDER,152,KETCHUP_SAUCE:2;MAYO_SAUCE:3
ORDER,153,COLA:3
